epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4213,1.40284,4.80183,0.91181,0.00067,0.0722,0.0356,0.02334,1.13505,4.23213,0.84393,0.000406977,0.000406977,0.000406977
2,185.22,1.22084,2.91851,0.86842,0.99123,0.16249,0.59379,0.40585,1.05731,3.24546,0.85835,0.000807335,0.000807335,0.000807335
3,274.064,1.21319,2.34692,0.8667,0.88163,0.6261,0.7761,0.5169,1.00631,2.09425,0.85859,0.00119119,0.00119119,0.00119119
4,362.1,1.15134,2.02886,0.86931,0.84675,0.72553,0.8585,0.62227,0.91365,1.37624,0.83967,0.00117575,0.00117575,0.00117575
5,449.185,1.10975,1.71962,0.84864,0.86698,0.8045,0.88647,0.62675,0.9203,1.17083,0.84842,0.001151,0.001151,0.001151
6,539.374,1.06319,1.43935,0.85781,0.93418,0.77061,0.89507,0.63993,0.91405,1.17282,0.84,0.00112625,0.00112625,0.00112625
7,626.333,1.08909,1.33442,0.86082,0.89507,0.84711,0.90828,0.66609,0.88101,0.94326,0.8361,0.0011015,0.0011015,0.0011015
8,715.018,1.01239,1.17781,0.84958,0.92125,0.82744,0.91268,0.68569,0.82269,0.85814,0.83123,0.00107675,0.00107675,0.00107675
9,803.451,0.98324,1.07986,0.84636,0.95767,0.82887,0.93337,0.68647,0.83996,0.81189,0.83034,0.001052,0.001052,0.001052
10,893.972,0.98145,1.02739,0.84266,0.9042,0.83097,0.91589,0.69357,0.7625,0.74548,0.81946,0.00102725,0.00102725,0.00102725
11,982.789,0.98693,0.94776,0.83961,0.92204,0.86275,0.92823,0.68342,0.79012,0.7189,0.81949,0.0010025,0.0010025,0.0010025
12,1073.56,0.95232,0.8626,0.83275,0.93221,0.84674,0.93471,0.72976,0.75489,0.66036,0.81868,0.00097775,0.00097775,0.00097775
13,1158.9,0.92284,0.83559,0.83003,0.90043,0.88105,0.9253,0.71038,0.72181,0.66829,0.8161,0.000953,0.000953,0.000953
14,1245.88,0.96547,0.83516,0.83621,0.92708,0.86963,0.93006,0.73883,0.68816,0.6731,0.81174,0.00092825,0.00092825,0.00092825
15,1335.71,0.91977,0.78861,0.8319,0.92831,0.90401,0.93542,0.73068,0.73452,0.57849,0.81625,0.0009035,0.0009035,0.0009035
16,1428.59,0.87017,0.74243,0.83961,0.93451,0.87001,0.92906,0.7123,0.75012,0.58553,0.8152,0.00087875,0.00087875,0.00087875
17,1520.27,0.94545,0.75119,0.82515,0.95247,0.88447,0.95213,0.72363,0.7349,0.58369,0.81401,0.000854,0.000854,0.000854
18,1613.43,0.88278,0.68404,0.83299,0.93772,0.87957,0.94029,0.71636,0.735,0.55624,0.81425,0.00082925,0.00082925,0.00082925
19,1713.85,0.86693,0.67879,0.81468,0.94797,0.87558,0.93937,0.73592,0.68837,0.56087,0.80919,0.0008045,0.0008045,0.0008045
20,1806.56,0.82909,0.64466,0.82647,0.92438,0.8899,0.94783,0.7548,0.67319,0.5136,0.80697,0.00077975,0.00077975,0.00077975
21,1897.84,0.83181,0.66823,0.81836,0.8953,0.88757,0.92135,0.73256,0.6824,0.57291,0.80828,0.000755,0.000755,0.000755
22,1988.11,0.82759,0.64094,0.81551,0.9598,0.89525,0.9457,0.75224,0.6801,0.50929,0.80767,0.00073025,0.00073025,0.00073025
23,2082.59,0.84235,0.63369,0.8183,0.97314,0.86327,0.94732,0.74881,0.69687,0.53273,0.80838,0.0007055,0.0007055,0.0007055
24,2174.99,0.82998,0.637,0.80926,0.96439,0.89322,0.9523,0.75639,0.67331,0.50355,0.80702,0.00068075,0.00068075,0.00068075
25,2264.17,0.82999,0.60202,0.82228,0.95329,0.88748,0.95215,0.75295,0.67455,0.50005,0.80686,0.000656,0.000656,0.000656
26,2354.48,0.82306,0.60099,0.80956,0.94214,0.92417,0.95545,0.75937,0.68047,0.49591,0.8072,0.00063125,0.00063125,0.00063125
27,2443.42,0.82298,0.58444,0.80786,0.95094,0.91917,0.9559,0.77074,0.63642,0.46878,0.80275,0.0006065,0.0006065,0.0006065
28,2538.4,0.78301,0.55316,0.80701,0.96046,0.90298,0.95368,0.76881,0.6726,0.47676,0.80677,0.00058175,0.00058175,0.00058175
29,2636.83,0.78852,0.56451,0.81077,0.93693,0.9086,0.96089,0.77084,0.67653,0.49082,0.80628,0.000557,0.000557,0.000557
30,2725.45,0.79769,0.57196,0.81924,0.95608,0.90757,0.96062,0.77409,0.64354,0.48196,0.80424,0.00053225,0.00053225,0.00053225
