epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.886,0.43153,0.96225,0.89712,0.96691,0.94123,0.96774,0.90974,0.35348,0.86391,0.8371,0.000661333,0.000661333,0.000661333
2,540.304,0.37344,0.55363,0.87666,0.98339,0.94479,0.96643,0.90914,0.32649,0.56834,0.82897,0.00128418,0.00128418,0.00128418
3,810.726,0.36729,0.47757,0.87338,0.97754,0.9439,0.97077,0.92193,0.31498,0.41979,0.822,0.00186302,0.00186302,0.00186302
4,1070.31,0.34554,0.41321,0.86759,0.98454,0.96527,0.98016,0.93854,0.28762,0.34266,0.81727,0.001802,0.001802,0.001802
5,1321.96,0.32073,0.37285,0.86015,0.97847,0.93074,0.97247,0.93236,0.26273,0.36599,0.81295,0.001736,0.001736,0.001736
6,1593.03,0.30693,0.35147,0.86152,0.98337,0.94786,0.97545,0.94336,0.25684,0.32549,0.81094,0.00167,0.00167,0.00167
7,1849.12,0.28887,0.33159,0.85161,0.9826,0.96527,0.98102,0.95123,0.24486,0.26917,0.80639,0.001604,0.001604,0.001604
8,2112.66,0.28459,0.32162,0.85389,0.99037,0.96616,0.98109,0.9536,0.23778,0.26064,0.80612,0.001538,0.001538,0.001538
9,2366.13,0.27306,0.31242,0.85469,0.98917,0.96705,0.97704,0.95392,0.2182,0.24099,0.80749,0.001472,0.001472,0.001472
10,2617.78,0.25788,0.29484,0.84942,0.99435,0.96171,0.98234,0.95377,0.21629,0.2447,0.80706,0.001406,0.001406,0.001406
11,2865.79,0.25589,0.28664,0.8473,0.98823,0.97173,0.97869,0.95424,0.20774,0.2297,0.80891,0.00134,0.00134,0.00134
12,3109.15,0.24898,0.2791,0.84797,0.98275,0.96387,0.98179,0.95759,0.19999,0.22341,0.80193,0.001274,0.001274,0.001274
13,3359.26,0.23756,0.26809,0.84372,0.98998,0.96817,0.98418,0.96169,0.18636,0.20823,0.79758,0.001208,0.001208,0.001208
14,3619.48,0.23226,0.26464,0.84129,0.98929,0.96972,0.9836,0.96068,0.19623,0.21594,0.79865,0.001142,0.001142,0.001142
15,3870.9,0.22934,0.26297,0.84443,0.99393,0.96527,0.98261,0.95845,0.19272,0.20723,0.80165,0.001076,0.001076,0.001076
16,4138.02,0.22546,0.25521,0.84009,0.99542,0.96972,0.98603,0.96298,0.18615,0.19364,0.80227,0.00101,0.00101,0.00101
17,4410.26,0.21697,0.2534,0.8373,0.98671,0.9715,0.98269,0.96023,0.16745,0.19607,0.79382,0.000944,0.000944,0.000944
18,4670.28,0.21703,0.24724,0.84049,0.99271,0.96944,0.98475,0.96143,0.16893,0.1892,0.79526,0.000878,0.000878,0.000878
19,4923.14,0.21311,0.2429,0.83861,0.99182,0.97199,0.98544,0.9653,0.16978,0.1816,0.79565,0.000812,0.000812,0.000812
20,5176.47,0.20125,0.23081,0.8359,0.9913,0.97061,0.98618,0.96518,0.16719,0.17789,0.79321,0.000746,0.000746,0.000746
21,5420.85,0.1836,0.20617,0.8097,0.99712,0.9724,0.97937,0.96032,0.16986,0.1843,0.79266,0.00068,0.00068,0.00068
22,5662.12,0.17464,0.20194,0.80686,0.99633,0.96616,0.98049,0.96367,0.16258,0.18304,0.79176,0.000614,0.000614,0.000614
23,5905.1,0.16854,0.19621,0.80672,0.99363,0.97252,0.98727,0.97052,0.15395,0.16951,0.78876,0.000548,0.000548,0.000548
24,6154.9,0.16003,0.18824,0.80539,0.99312,0.97418,0.98406,0.97001,0.14615,0.16756,0.78597,0.000482,0.000482,0.000482
25,6387.58,0.15494,0.18012,0.80195,0.99455,0.97445,0.9841,0.97018,0.14124,0.16188,0.78367,0.000416,0.000416,0.000416
26,6633.64,0.15012,0.17596,0.80339,0.99365,0.97469,0.98563,0.97138,0.13607,0.15605,0.78157,0.00035,0.00035,0.00035
27,6874.94,0.14807,0.16768,0.80345,0.99727,0.97549,0.98714,0.97152,0.13111,0.14634,0.78124,0.000284,0.000284,0.000284
28,7115.3,0.13783,0.16116,0.79818,0.99636,0.97574,0.98736,0.97406,0.12757,0.14624,0.7814,0.000218,0.000218,0.000218
29,7350.67,0.13014,0.15844,0.79742,0.99909,0.97485,0.98766,0.97477,0.11719,0.13923,0.77909,0.000152,0.000152,0.000152
30,7598.04,0.12515,0.1509,0.79641,0.99909,0.97456,0.98708,0.9748,0.1167,0.13374,0.77915,8.6e-05,8.6e-05,8.6e-05
